Movie_ID,Series_Title,Genre,Overview,Director,Stars
0,The Shawshank Redemption,drama,imprison men bond number year find solac eventu redempt act common decenc,frank darabont,tim robbin morgan freeman bob gunton william sadler
1,The Godfather,crime drama,organ crime dynasti age patriarch transfer control clandestin empir reluct son,franci ford coppola,marlon brando al pacino jame caan dian keaton
2,The Dark Knight,action crime drama,menac known joker wreak havoc chao peopl gotham batman accept greatest psycholog physic test abil fight injustic,christoph nolan,christian bale heath ledger aaron eckhart michael cain
3,The Godfather: Part II,crime drama,earli life career vito corleon s new york citi portray son michael expand tighten grip famili crime syndic,franci ford coppola,al pacino robert niro robert duval dian keaton
4,12 Angry Men,crime drama,juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid,sidney lumet,henri fonda lee j cobb martin balsam john fiedler
5,The Lord of the Rings: The Return of the King,action adventur drama,gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom ring,peter jackson,elijah wood viggo mortensen ian mckellen orlando bloom
6,Pulp Fiction,crime drama,live mob hitmen boxer gangster wife pair diner bandit intertwin tale violenc redempt,quentin tarantino,john travolta uma thurman samuel l jackson bruce willi
7,Schindler's List,biographi drama histori,germanoccupi poland world war ii industrialist oskar schindler gradual concern jewish workforc wit persecut nazi,steven spielberg,liam neeson ralph fienn ben kingsley carolin goodal
8,Inception,action adventur scifi,thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo,christoph nolan,leonardo dicaprio joseph gordonlevitt elliot page ken watanab
9,Fight Club,drama,insomniac offic worker devilmaycar soapmak form underground fight club evolv,david fincher,brad pitt edward norton meat loaf zach grenier
10,The Lord of the Rings: The Fellowship of the Ring,action adventur drama,meek hobbit shire companion set journey destroy power ring save middleearth dark lord sauron,peter jackson,elijah wood ian mckellen orlando bloom sean bean
11,Forrest Gump,drama romanc,presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq desir reunit childhood sweetheart,robert zemecki,tom hank robin wright gari sinis salli field
12,"Il buono, il brutto, il cattivo",western,bounti hunt scam join men uneasi allianc race fortun gold buri remot cemeteri,sergio leon,clint eastwood eli wallach lee van cleef aldo giuffrè
