User_ID,Movie_ID,Rating
71,132,9
64,122,2
50,95,5
152,755,6
282,305,7
19,324,4
213,97,3
9,749,7
180,4,3
300,255,2
115,483,6
168,607,7
268,335,3
213,381,5
97,740,8
57,960,8
205,828,3
192,63,4
3,546,1
292,86,5
300,517,1
88,619,4
259,611,10
121,295,2
228,185,8
105,624,10
178,337,8
261,196,5
264,903,9
272,504,7
121,833,6
241,949,6
96,87,4
161,994,9
24,475,4
3,139,2
8,181,9
72,728,9
253,536,2
299,322,7
28,967,7
284,556,7
212,414,7
151,456,1
202,347,6
158,906,5
16,308,5
77,319,9
113,582,10
183,595,2
142,626,8
265,999,6
232,741,7
135,577,2
175,460,9
34,212,6
297,160,7
38,405,5
252,212,8
145,447,2
69,423,8
132,913,2
193,475,8
158,691,9
287,939,3
41,514,1
241,316,10
231,826,1
80,152,7
186,915,7
20,152,2
229,505,8
44,719,9
254,317,2
93,389,5
149,686,7
137,164,10
208,454,4
259,737,5
234,383,6
2,192,4
286,679,9
288,189,7
298,144,10
24,264,7
244,643,3
74,255,10
73,193,7
139,260,8
190,617,1
146,852,1
288,789,3
67,689,2
23,764,10
267,528,5
17,599,2
221,166,10
258,880,7
205,691,6
218,925,3
133,405,1
27,463,9
52,551,1
164,828,4
226,653,8
91,141,10
171,553,3
39,268,10
286,875,2
192,392,9
66,889,1
243,471,2
35,517,3
103,201,1
95,265,8
166,384,7
188,252,7
64,549,8
59,546,6
126,943,4
249,200,8
5,485,7
267,582,8
119,524,8
274,614,2
76,665,9
290,282,9
127,643,10
31,929,5
57,711,7
234,595,2
194,533,3
245,481,4
298,682,8
189,460,2
103,877,5
26,790,3
260,165,5
61,746,10
290,546,9
271,577,5
250,682,7
188,496,8
68,424,7
223,906,3
232,326,1
68,976,3
12,547,7
289,266,9
247,3,10
52,12,7
112,850,5
174,219,2
112,587,9
209,862,4
217,420,5
220,431,1
38,750,8
111,240,2
66,516,7
290,358,1
256,880,10
44,384,10
276,626,9
290,149,1
128,900,4
56,0,3
148,707,5
256,249,3
86,790,6
275,623,10
224,276,6
258,812,9
11,561,5
5,276,3
23,915,1
41,339,5
33,851,10
292,994,7
143,640,3
262,682,8
155,959,2
22,533,2
117,692,3
67,900,7
144,482,2
173,10,1
84,668,4
65,73,3
123,492,1
56,896,4
149,980,10
267,979,5
284,878,10
161,12,5
299,747,8
153,453,10
67,771,3
1,801,9
72,94,7
171,151,10
288,246,1
44,677,2
164,722,9
17,39,4
212,785,4
258,381,1
30,8,1
162,462,7
1,26,2
214,184,10
56,532,9
136,95,10
32,789,4
164,83,9
297,240,4
61,917,7
222,911,4
5,77,3
33,51,6
41,216,1
16,180,7
13,707,2
222,859,6
82,923,10
254,718,10
75,373,8
99,630,2
194,374,10
181,716,10
197,432,6
